SoccerPlayer{minutes=2526, goals=0, sport='Soccer', team='Chicago', position='Midfield', first='Ivan', last='Guerrero', canShoot='false', goalPerGame='0.0'}
SoccerPlayer{minutes=2429, goals=1, sport='Soccer', team='Chicago', position='Defender', first='C.J.', last='Brown', canShoot='true', goalPerGame='0.0'}
SoccerPlayer{minutes=2366, goals=1, sport='Soccer', team='Chicago', position='Midfield', first='Chris', last='Armas', canShoot='true', goalPerGame='0.0'}
SoccerPlayer{minutes=2054, goals=1, sport='Soccer', team='Chicago', position='Defender', first='Dasan', last='Robinson', canShoot='false', goalPerGame='0.0'}
SoccerPlayer{minutes=2037, goals=8, sport='Soccer', team='Chicago', position='Fwd', first='Nate', last='Jaqua', canShoot='true', goalPerGame='0.0'}
SoccerPlayer{minutes=1984, goals=1, sport='Soccer', team='Chicago', position='Defender', first='Gonzalo', last='Segares', canShoot='false', goalPerGame='0.0'}
SoccerPlayer{minutes=1879, goals=2, sport='Soccer', team='Chicago', position='Midfield', first='Diego', last='Gutierrez', canShoot='true', goalPerGame='0.0'}
SoccerPlayer{minutes=1866, goals=2, sport='Soccer', team='Chicago', position='Midfield', first='Justin', last='Mapp', canShoot='false', goalPerGame='0.0'}
Goalie{goalsAllowed=30, minutes=2160, goals=0, sport='Soccer', team='Chicago', position='Goalie', first='Zach', last='Thornton', averageGoalsAllowed='0.0'}
Goalie{goalsAllowed=11, minutes=720, goals=0, sport='Soccer', team='Chicago', position='Goalie', first='Matt', last='Pickens', averageGoalsAllowed='0.0'}
SoccerPlayer{minutes=2367, goals=14, sport='Soccer', team='DC', position='Midfield', first='Christian', last='Gomez', canShoot='true', goalPerGame='0.0'}
SoccerPlayer{minutes=2700, goals=11, sport='Soccer', team='DC', position='Fwd', first='Jaime', last='Moreno', canShoot='false', goalPerGame='0.0'}
SoccerPlayer{minutes=1478, goals=7, sport='Soccer', team='DC', position='Fwd', first='Alecko', last='Eskandarian', canShoot='true', goalPerGame='0.0'}
SoccerPlayer{minutes=2626, goals=3, sport='Soccer', team='DC', position='Defender', first='Facundo', last='Erpen', canShoot='true', goalPerGame='0.0'}
SoccerPlayer{minutes=2576, goals=3, sport='Soccer', team='DC', position='Defender', first='Joshua', last='Gros', canShoot='false', goalPerGame='0.0'}
SoccerPlayer{minutes=2521, goals=2, sport='Soccer', team='DC', position='Midfield', first='Freddy', last='Adu', canShoot='false', goalPerGame='0.0'}
SoccerPlayer{minutes=1535, goals=2, sport='Soccer', team='DC', position='Midfield', first='Ben', last='Olsen', canShoot='false', goalPerGame='0.0'}
Goalie{goalsAllowed=34, minutes=2700, goals=0, sport='Soccer', team='DC', position='Goalie', first='Troy', last='Perkins', averageGoalsAllowed='0.0'}
Goalie{goalsAllowed=4, minutes=180, goals=0, sport='Soccer', team='DC', position='Goalie', first='Nick', last='Rimando', averageGoalsAllowed='0.0'}
BaseballPlayer{atBats=414, hist=125, sport='Baseball', team='Diamondbacks', position='Catcher', first='Johnny', last='Estrada', battingAverage='3.312', canDefend='true'}
BaseballPlayer{atBats=485, hist=141, sport='Baseball', team='Diamondbacks', position='First', first='Conor', last='Jackson', battingAverage='3.4397163120567376', canDefend='false'}
BaseballPlayer{atBats=579, hist=166, sport='Baseball', team='Diamondbacks', position='Second', first='Orlando', last='Hudson', battingAverage='3.4879518072289155', canDefend='false'}
BaseballPlayer{atBats=597, hist=168, sport='Baseball', team='Diamondbacks', position='Third', first='Chad', last='Tracy', battingAverage='3.5535714285714284', canDefend='false'}
BaseballPlayer{atBats=372, hist=95, sport='Baseball', team='Diamondbacks', position='Short', first='Craig', last='Counsell', battingAverage='3.9157894736842107', canDefend='false'}
BaseballPlayer{atBats=586, hist=159, sport='Baseball', team='Diamondbacks', position='Left', first='Luis', last='Gonzalez', battingAverage='3.6855345911949686', canDefend='false'}
BaseballPlayer{atBats=562, hist=150, sport='Baseball', team='Diamondbacks', position='Center', first='Eric', last='Byrnes', battingAverage='3.7466666666666666', canDefend='true'}
BaseballPlayer{atBats=417, hist=118, sport='Baseball', team='Diamondbacks', position='Right', first='Shawn', last='Green', battingAverage='3.5338983050847457', canDefend='true'}
BaseballPlayer{atBats=512, hist=163, sport='Baseball', team='Mets', position='Catcher', first='Paul', last='LoDuca', battingAverage='3.1411042944785277', canDefend='false'}
BaseballPlayer{atBats=524, hist=139, sport='Baseball', team='Mets', position='First', first='Carlos', last='Delgado', battingAverage='3.7697841726618706', canDefend='false'}
BaseballPlayer{atBats=384, hist=104, sport='Baseball', team='Mets', position='Second', first='Jose', last='Valentin', battingAverage='3.6923076923076925', canDefend='true'}
BaseballPlayer{atBats=582, hist=181, sport='Baseball', team='Mets', position='Third', first='David', last='Wright', battingAverage='3.2154696132596685', canDefend='false'}
BaseballPlayer{atBats=647, hist=194, sport='Baseball', team='Mets', position='Short', first='Jose', last='Reyes', battingAverage='3.3350515463917527', canDefend='false'}
BaseballPlayer{atBats=332, hist=81, sport='Baseball', team='Mets', position='Left', first='Cliff', last='Floyd', battingAverage='4.098765432098766', canDefend='false'}
BaseballPlayer{atBats=510, hist=140, sport='Baseball', team='Mets', position='Center', first='Carlos', last='Beltran', battingAverage='3.642857142857143', canDefend='true'}
BaseballPlayer{atBats=265, hist=70, sport='Baseball', team='Mets', position='Right', first='Xavier', last='Nady', battingAverage='3.7857142857142856', canDefend='true'}
